id,disciplina,assunto,texto,A,B,C,D,E,gabarito,dificuldade,modelos
132,Fisica,Termodinamica,A lei de Boyle-Mariotte (a T constante) estabelece que:,P×V = constante,P/V = constante,P+V = constante,P = V,V = T/P,A,3,enem;uerj;espcex;efomm;epcar
133,Fisica,Optica,Se a velocidade da luz no vacuo e c e o indice de refracao de um meio e n=2 entao a velocidade da luz nesse meio e:,c/2,c/3,2c,3c,c,A,3,enem;uerj;espcex;efomm;epcar
134,Fisica,Eletricidade,A resistencia de um fio de cobre de comprimento L e secao A e (ρ = resistividade):,R = ρL/A,R = ρA/L,R = L/(ρA),R = A/(ρL),R = ρLA,A,3,enem;uerj;espcex;efomm;epcar
135,Fisica,Eletricidade,Em um circuito com resistencia de 10 Ω e corrente de 2 A a tensao e (Lei de Ohm):,20 V,5 V,8 V,12 V,200 V,A,1,enem;uerj;espcex;efomm;epcar
136,Fisica,Eletricidade,Dois resistores de 4 Ω cada em paralelo tem resistencia equivalente:,2 Ω,8 Ω,4 Ω,6 Ω,1 Ω,A,3,enem;uerj;espcex;efomm;epcar
137,Fisica,Eletricidade,A potencia dissipada em um resistor de 5 Ω com corrente de 3 A e (P=R×I²):,45 W,15 W,8 W,90 W,3 W,A,3,enem;uerj;espcex;efomm;epcar
138,Fisica,Eletricidade,Cargas de mesmo sinal quando proximas:,Se repelem,Se atraem,Nao interagem,Se anulam,Se neutralizam,A,2,enem;uerj;espcex;efomm;epcar
139,Fisica,Ondas,A velocidade de propagacao do som no ar e aproximadamente:,340 m/s,300 m/s,1500 m/s,3000 m/s,30 m/s,A,1,enem;uerj;espcex;efomm;epcar
140,Quimica,Ligacoes Quimicas,A ligacao quimica formada por compartilhamento de pares de eletrons e denominada:,Covalente,Ionica,Metalica,Hidrogenio,Van der Waals,A,2,enem;uerj;espcex
141,Quimica,Ligacoes Quimicas,A ligacao ionica ocorre tipicamente entre:,Metal e nao-metal,Dois nao-metais,Dois metais,Metal e gas nobre,Dois gases nobres,A,1,enem;uerj;espcex
142,Quimica,Ligacoes Quimicas,O numero de ligacoes covalentes que o carbono (Z=6) forma e:,4,2,1,3,6,A,2,enem;uerj;espcex
143,Quimica,Tabela Periodica,O elemento de numero atomico 11 (Sodio) pertence ao grupo:,IA (metais alcalinos),IIA (metais alcalino-terrosos),VIIA (halogenios),0 (gases nobres),IVA,A,1,enem;uerj;espcex
144,Quimica,Tabela Periodica,Ao longo de um periodo (linha) da tabela periodica da esquerda para a direita o raio atomico:,Diminui,Aumenta,Permanece constante,Oscila,Depende do grupo,A,3,enem;uerj;espcex
145,Quimica,Reacoes,O balanceamento correto da reacao de formacao da agua (H₂ + O₂ → H₂O) e:,2H₂ + O₂ → 2H₂O,H₂ + O₂ → H₂O,H₂ + 2O₂ → 2H₂O,2H₂ + 2O₂ → 2H₂O,4H₂ + O₂ → 4H₂O,A,3,enem;uerj;espcex
146,Quimica,Reacoes,Em uma reacao exotermica o calor e:,Liberado para o ambiente,Absorvido do ambiente,Nulo,Transformado em luz,Armazenado no produto,A,2,enem;uerj;espcex
147,Quimica,Funcoes Inorganicas,O acido cloridrico (HCl) em solucao aquosa e classificado como:,Acido forte,Acido fraco,Base forte,Base fraca,Sal,A,1,enem;uerj;espcex
148,Quimica,Funcoes Inorganicas,O hidroxido de sodio (NaOH) e classificado como:,Base forte,Base fraca,Acido forte,Acido fraco,Sal,A,2,enem;uerj;espcex
149,Quimica,Funcoes Inorganicas,Uma solucao com pH = 7 a 25°C e considerada:,Neutra,Acida,Basica,Tampao,Saturada,A,1,enem;uerj;espcex
150,Quimica,Funcoes Inorganicas,O sal formado pela reacao entre HCl e NaOH e:,NaCl,NaOH,HCl,NaHCO₃,Na₂CO₃,A,2,enem;uerj;espcex
151,Quimica,Estequiometria,Na reacao 2H₂ + O₂ → 2H₂O quantas moles de agua sao produzidas a partir de 4 moles de H₂?,4 mol,2 mol,8 mol,1 mol,6 mol,A,3,enem;uerj;espcex
152,Quimica,Estequiometria,A massa molar do CO₂ (C=12; O=16) e:,44 g/mol,28 g/mol,32 g/mol,22 g/mol,16 g/mol,A,2,enem;uerj;espcex
153,Quimica,Solucoes,A concentracao de uma solucao com 20 g de soluto dissolvidos em 500 mL de solucao e:,40 g/L,10 g/L,20 g/L,100 g/L,4 g/L,A,3,enem;uerj;espcex
154,Quimica,Organica,A formula geral dos alcanos e:,CₙH₂ₙ₊₂,CₙH₂ₙ,CₙH₂ₙ₋₂,CₙHₙ,CₙH₂,A,2,enem;uerj;espcex
155,Quimica,Organica,O grupo funcional -OH quando ligado a um carbono alifatico caracteriza a funcao:,Alcool,Eter,Aldei­do,Cetona,Acido carboxilico,A,1,enem;uerj;espcex
156,Quimica,Organica,A combustao completa de um hidrocarboneto produz como produtos:,CO₂ e H₂O,CO e H₂O,C e H₂O,CO₂ e H₂,C e H₂,A,2,enem;uerj;espcex
157,Quimica,Organica,O metano (CH₄) e um exemplo de:,Alcano,Alceno,Alcino,Aromatic,Alcadeno,A,1,enem;uerj;espcex
158,Quimica,Nucleo Atomico,O numero de protons no nucleo de um atomo e igual ao seu:,Numero atomico (Z),Numero de massa (A),Numero de neutrons,Numero de eletrons de valencia,Periodo na TP,A,2,enem;uerj;espcex
159,Quimica,Nucleo Atomico,Isotopos sao atomos do mesmo elemento que diferem em:,Numero de neutrons,Numero de protons,Numero de eletrons,Numero atomico,Grupo na tabela,A,3,enem;uerj;espcex
160,Biologia,Ecologia,Em uma cadeia alimentar o organismo que produz materia organica a partir de luz solar e denominado:,Produtor,Consumidor primario,Consumidor secundario,Decompositores,Parasita,A,2,enem;uerj
161,Biologia,Ecologia,A biomassa diminui a cada nivel trofico em uma cadeia alimentar. Isso e explicado pela:,Perda de energia em cada nivel,Fotossintese dos produtores,Respiracao dos decompositores,Interacao entre especies,Ciclo hidrologico,A,3,enem;uerj
162,Biologia,Ecologia,O ciclo do carbono inclui o processo de fotossintese que:,Retira CO₂ da atmosfera,Libera CO₂ na atmosfera,Transforma N₂ em nitratos,Produz O₃ na estratosfera,Decompoe materia organica,A,2,enem;uerj
163,Biologia,Ecologia,O aquecimento global esta associado ao aumento da concentracao de:,Gases de efeito estufa,Oxigenio na atmosfera,Ozonio na estratosfera,Nitrogenio no solo,Vapor d'agua nos oceanos,A,1,enem;uerj
164,Biologia,Ecologia,A relacao ecologica entre o liquen (fungo + alga) e um exemplo de:,Mutualismo,Parasitismo,Comensalismo,Amensalismo,Competicao,A,3,enem;uerj
165,Biologia,Genetica,A lei da segregacao independente de Mendel (2a lei) refere-se a:,Heranca de dois ou mais pares de genes independentes,Heranca de um unico par de alelos,Dominancia incompleta,Heranca ligada ao sexo,Mutacoes geneticas,A,3,enem;uerj
166,Biologia,Genetica,Um individuo com genot tipo AaBb cruzado com outro AaBb. A proporcao de fenotipo dominante para os dois caracteres e:,9/16,3/16,1/16,12/16,6/16,A,5,enem;uerj
167,Biologia,Genetica,A sindrome de Down e causada por:,Trissomia do cromossomo 21,Monossomia do X,Trissomia do X,Delecao do cromossomo 5,Mutacao pontual,A,1,enem;uerj
168,Biologia,Genetica,O DNA e formado por nucleotideos que sao compostos de:,Fosfato + acucar + base nitrogenada,Aminoacido + acucar + fosfato,Lipideo + base + proteina,Glicose + base + fosfato,RNA + proteina + lipideo,A,3,enem;uerj
169,Biologia,Genetica,A replicacao do DNA ocorre durante a fase:,S (sintese) do ciclo celular,G1 do ciclo celular,G2 do ciclo celular,M (mitotica),Intermanual,A,4,enem;uerj
170,Biologia,Citologia,A membrana plasmatica e constituida principalmente por:,Fosfolipideos e proteinas,Celulose e proteinas,DNA e proteinas,Glicose e lipideos,Colesterol apenas,A,2,enem;uerj
171,Biologia,Citologia,A organela responsavel pela producao de energia (ATP) na celula e:,Mitocondria,Nucleo,Ribossomo,Reticulo endoplasmatico,Complexo de Golgi,A,1,enem;uerj
172,Biologia,Citologia,A fotossintese nos vegetais ocorre no:,Cloroplasto,Mitocondria,Vacuolo,Nucleo,Ribossomo,A,2,enem;uerj
173,Biologia,Citologia,Na mitose o material genetico:,E duplicado e distribuido igualmente entre duas celulas-filhas,E reduzido a metade em cada celula-filha,Permanece em uma unica celula,Se mistura com o citoplasma,Nao sofre alteracao,A,1,enem;uerj
174,Biologia,Citologia,A principal diferenca entre celulas procariontes e eucariontes e:,Presenca de nucleo organizado nas eucariontes,Presenca de DNA nas procariontes,Presenca de ribossomos nas eucariontes,Tamanho celular,Presenca de membrana nas eucariontes,A,2,enem;uerj
175,Biologia,Evolucao,A teoria da selecao natural foi proposta por:,Charles Darwin,Jean-Baptiste Lamarck,Gregor Mendel,Watson e Crick,Louis Pasteur,A,1,enem;uerj
176,Biologia,Evolucao,De acordo com Lamarck a evolucao ocorria por:,Uso e desuso e heranca dos caracteres adquiridos,Selecao natural e heranca genetica,Mutacoes aleatorias,Deriva genetica,Fluxo genico,A,3,enem;uerj
177,Biologia,Evolucao,O isolamento geografico contribui para a especiacao pois:,Impede o cruzamento entre populacoes,Aumenta a taxa de mutacoes,Favorece a migracao,Reduz a selecao natural,Elimina a competicao,A,3,enem;uerj
178,Biologia,Fisiologia,O sangue oxigenado sai do coracao pelo(a):,Aorta (ventriculo esquerdo),Arteria pulmonar,Veia pulmonar,Veia cava,Ventriculo direito,A,3,enem;uerj
179,Biologia,Fisiologia,A insulina e produzida pelo pancreas e sua principal funcao e:,Reduzir a glicose sanguinea,Aumentar a glicose sanguinea,Estimular o crescimento osseo,Regular o metabolismo de calcio,Controlar a pressao arterial,A,1,enem;uerj
180,Historia,Brasil Colonial,O Tratado de Tordesilhas (1494) dividiu o Novo Mundo entre:,Portugal e Espanha,Portugal e Franca,Espanha e Holanda,Inglaterra e Portugal,Espanha e Franca,A,2,enem;uerj;espcex;epcar
181,Historia,Brasil Colonial,O sistema de capitanias hereditarias foi implantado no Brasil a partir de:,1532 com Martim Afonso de Sousa,1500 com Pedro Alvares Cabral,1549 com Tome de Sousa,1600 com os jesuitas,1654 com a expulsao dos holandeses,A,3,enem;uerj;espcex;epcar
182,Historia,Brasil Colonial,A principal riqueza exportada pelo Brasil no ciclo do acucar (seculos XVI-XVII) foi:,Acucar,Ouro,Cafe,Borracha,Algodao,A,2,enem;uerj;espcex;epcar
183,Historia,Brasil Colonial,A Inconfidencia Mineira (1789) foi um movimento que visava:,Independencia do Brasil,Abolir a escravatura,Instaurar uma republica federada,Expulsar os jesui­tas,Criar uma monarquia constitucional,A,3,enem;uerj;espcex;epcar
184,Historia,Brasil Imperio,A Independencia do Brasil foi proclamada por Dom Pedro I em:,7 de setembro de 1822,7 de setembro de 1889,15 de novembro de 1889,3 de maio de 1808,15 de outubro de 1827,A,2,enem;uerj;espcex;epcar
185,Historia,Brasil Imperio,A Abolicao da Escravatura no Brasil ocorreu com a assinatura da Lei Aurea em:,13 de maio de 1888,15 de novembro de 1889,7 de setembro de 1822,15 de maio de 1888,13 de maio de 1889,A,1,enem;uerj;espcex;epcar
186,Historia,Brasil Imperio,O Segundo Reinado brasileiro (1840-1889) foi caracterizado por:,Crescimento economico e Guerra do Paraguai,Golpe militar e industrializacao,Republica Velha e coronelismo,Ditadura Vargas e Estado Novo,Governo JK e Plano de Metas,A,3,enem;uerj;espcex;epcar
187,Historia,Brasil Republica,A Proclamacao da Republica no Brasil ocorreu em:,15 de novembro de 1889,7 de setembro de 1822,13 de maio de 1888,1 de maio de 1900,20 de novembro de 1889,A,1,enem;uerj;espcex;epcar
188,Historia,Brasil Republica,O periodo da Republica Velha (1889-1930) foi marcado pelo:,Dominio dos grandes fazendeiros (coronelismo),Industrializacao acelerada,Fim da escravidao,Reforma Trabalhista,Plano de Metas de JK,A,3,enem;uerj;espcex;epcar
189,Historia,Brasil Republica,O Estado Novo (1937-1945) foi um regime ditatorial liderado por:,Getulio Vargas,Eurico Gaspar Dutra,Juscelino Kubitschek,Joao Goulart,Castello Branco,A,1,enem;uerj;espcex;epcar
190,Historia,Brasil Republica,O golpe militar de 1964 no Brasil depoz o presidente:,Joao Goulart,Juscelino Kubitschek,Janio Quadros,Joao Cafe Filho,Nereu Ramos,A,2,enem;uerj;espcex;epcar
191,Historia,Historia Geral,A Revolucao Francesa (1789) foi motivada principalmente pela:,Crise economica e desigualdade social,Invasao napoleonica,Reforma religiosa,Guerra dos Cem Anos,Descoberta do Novo Mundo,A,3,enem;uerj;espcex;epcar
192,Historia,Historia Geral,A Primeira Guerra Mundial iniciou-se em 1914 com o assassinato de:,Francisco Ferdinando (Arquiduque austro-hungaro),Kaiser Guilherme II,Tsar Nicolau II,Winston Churchill,Otto von Bismarck,A,2,enem;uerj;espcex;epcar
193,Historia,Historia Geral,A Revolucao Russa de 1917 levou ao poder o partido:,Bolchevique (comunista),Cadete (liberal),Menchevique,Socialista Revolucionario,Monarquista,A,1,enem;uerj;espcex;epcar
194,Historia,Historia Geral,O nazismo na Alemanha foi liderado por:,Adolf Hitler,Benito Mussolini,Francisco Franco,Josef Stalin,Heinrich Himmler,A,2,enem;uerj;espcex;epcar
195,Historia,Historia Geral,A Segunda Guerra Mundial encerrou-se oficialmente em:,1945,1944,1946,1943,1947,A,1,enem;uerj;espcex;epcar
196,Historia,Historia Geral,A Guerra Fria caracterizou-se pela disputa entre:,EUA e URSS,EUA e China,URSS e China,EUA e Alemanha,EUA e Japao,A,2,enem;uerj;espcex;epcar
197,Historia,Historia Geral,O Renascimento Cultural (seculos XIV-XVI) iniciou-se em:,Italia,Franca,Inglaterra,Alemanha,Portugal,A,1,enem;uerj;espcex;epcar
198,Historia,Historia Geral,As Cruzadas foram expedições militares organizadas pela Igreja Catolica com o objetivo de:,Reconquistar a Terra Santa dos muculmanos,Expandir o comercio europeu,Converter povos pagaos,Combater a heresia protestante,Explorar as Americas,A,3,enem;uerj;espcex;epcar
199,Historia,Historia Geral,A Revolucao Industrial iniciou-se no seculo XVIII em:,Inglaterra,Franca,Alemanha,Estados Unidos,Belgica,A,1,enem;uerj;espcex;epcar
200,Historia,Historia Geral,O Iluminismo defendia os valores de:,Razao liberdade e igualdade,Fe misticismo e obediencia,Feudalismo teocracia e servidao,Imperialismo colonialismo e escravidao,Nationalismo militarismo e expansionismo,A,3,enem;uerj;espcex;epcar
201,Historia,Historia Geral,A queda do Muro de Berlim ocorreu em:,1989,1991,1985,1979,1993,A,1,enem;uerj;espcex;epcar
202,Historia,Historia Geral,Os atentados terroristas de 11 de setembro de 2001 ocorreram nos:,Estados Unidos,Inglaterra,Franca,Alemanha,Israel,A,2,enem;uerj;espcex;epcar
203,Historia,Brasil Colonial,O documento considerado o primeiro relato sobre o Brasil foi escrito por:,Pero Vaz de Caminha,Amerigo Vespucio,Joao de Barros,Pedro Alvares Cabral,Bartolomeu Dias,A,1,enem;uerj;espcex;epcar
204,Historia,Brasil Colonial,O Sistema Colonial Mercantilista impunha ao Brasil o Pacto Colonial que significava:,Comerciar exclusivamente com Portugal,Pagar tributos a Inglaterra,Cultivar somente acucar,Exportar escravos para Africa,Importar manufaturas da Holanda,A,3,enem;uerj;espcex;epcar
205,Historia,Brasil Republica,O movimento tenentista dos anos 1920 representava a insatisfacao de:,Jovens oficiais militares com a Republica Velha,Trabalhadores industriais,Fazendeiros do cafe,Imigrantes europeus,Intelectuais modernistas,A,4,enem;uerj;espcex;epcar
206,Historia,Historia Geral,A Reforma Protestante iniciada por Lutero em 1517 questionou principalmente:,A autoridade e corrupcao da Igreja Catolica,O absolutismo dos reis,A escravidao nas Americas,O sistema feudal,O comercio maritimo,A,3,enem;uerj;espcex;epcar
207,Historia,Historia Geral,O Apartheid foi um regime de segregacao racial que vigorou em:,Africa do Sul,Zimbabwe,Nigeria,Angola,Mocambique,A,1,enem;uerj;espcex;epcar
208,Historia,Historia Geral,A Declaracao Universal dos Direitos Humanos foi proclamada pela ONU em:,1948,1945,1919,1789,1776,A,3,enem;uerj;espcex;epcar
209,Historia,Brasil Republica,A Constituicao cidada do Brasil foi promulgada em:,1988,1985,1979,1964,1946,A,1,enem;uerj;espcex;epcar
210,Geografia,Brasil Fisico,O maior rio do Brasil em volume de agua e:,Rio Amazonas,Rio Parana,Rio Sao Francisco,Rio Tocantins,Rio Madeira,A,2,enem;uerj;espcex;epcar
211,Geografia,Brasil Fisico,O bioma que ocupa a maior extensao do territorio brasileiro e:,Amazonia,Cerrado,Caatinga,Mata Atlantica,Pantanal,A,1,enem;uerj;espcex;epcar
212,Geografia,Brasil Fisico,A regiao mais populosa do Brasil e a:,Sudeste,Sul,Nordeste,Norte,Centro-Oeste,A,2,enem;uerj;espcex;epcar
213,Geografia,Brasil Fisico,O processo de desertificacao afeta principalmente a regiao:,Nordeste do Brasil,Amazonia,Sul,Centro-Oeste,Sudeste,A,1,enem;uerj;espcex;epcar
214,Geografia,Brasil Fisico,A maior cidade do Brasil em populacao e:,Sao Paulo,Rio de Janeiro,Brasilia,Salvador,Fortaleza,A,2,enem;uerj;espcex;epcar
215,Geografia,Brasil Fisico,A capital federal do Brasil esta localizada no estado de:,Distrito Federal,Goias,Minas Gerais,Mato Grosso,Sao Paulo,A,1,enem;uerj;espcex;epcar
216,Geografia,Brasil Fisico,O Pantanal Mato-grossense e considerado a maior planicie alagavel do mundo e e localizado na regiao:,Centro-Oeste,Norte,Nordeste,Sul,Sudeste,A,2,enem;uerj;espcex;epcar
217,Geografia,Geopolitica,A organizacao internacional criada apos a Segunda Guerra Mundial para promover a paz e a cooperacao e a:,ONU (Organizacao das Nacoes Unidas),OTAN,FMI,OMC,UNESCO,A,1,enem;uerj;espcex;epcar
218,Geografia,Geopolitica,O MERCOSUL e um bloco economico composto originalmente por:,Argentina Brasil Paraguai e Uruguai,Brasil Argentina e Chile,Brasil Argentina Bolivia e Chile,Todos os paises sul-americanos,Brasil Venezuela e Argentina,A,3,enem;uerj;espcex;epcar
219,Geografia,Geopolitica,O pais com a maior producao de petroleo do mundo e (decada de 2020):,Estados Unidos,Arabia Saudita,Russia,Ira,Venezuela,A,4,enem;uerj;espcex;epcar
220,Geografia,Geopolitica,O continente mais populoso do mundo e:,Asia,Africa,Europa,America,Oceania,A,2,enem;uerj;espcex;epcar
221,Geografia,Geopolitica,A regiao do Oriente Medio tem como caracteristica economica predominante a:,Exportacao de petroleo,Producao agricola tropical,Industrializacao avancada,Exportacao de minerio de ferro,Turismo de massa,A,1,enem;uerj;espcex;epcar
222,Geografia,Clima,O clima equatorial caracteriza-se por:,Altas temperaturas e chuvas abundantes o ano todo,Estacao seca definida e temperaturas amenas,Frio intenso e precipitacao como neve,Chuvas concentradas no verao,Ausencia de chuvas e calor extremo,A,2,enem;uerj;espcex;epcar
223,Geografia,Clima,O fenomeno El Nino causa no Nordeste brasileiro:,Seca mais intensa que o normal,Chuvas acima da media,Ondas de frio,Ciclones tropicais,Geadas frequentes,A,3,enem;uerj;espcex;epcar
224,Geografia,Geomorfologia,As regioes de relevo denominadas depressoes absolutas possuem altitude:,Abaixo do nivel do mar,Entre 0 e 200 metros,Entre 200 e 500 metros,Acima de 500 metros,Acima de 1000 metros,A,3,enem;uerj;espcex;epcar
225,Geografia,Geomorfologia,O processo de intemperismo quimico e mais intenso em regioes de clima:,Equatorial quente e umido,Desertico quente e seco,Polar frio e seco,Temperado frio,Mediterraneo,A,3,enem;uerj;espcex;epcar
226,Geografia,Urbanizacao,O processo de metropolizacao no Brasil intensificou-se principalmente a partir de:,Decada de 1950,Decada de 1920,Inicio do seculo XX,Anos 1980,Anos 1990,A,3,enem;uerj;espcex;epcar
227,Geografia,Urbanizacao,O fenomeno da conurbacao ocorre quando:,Duas ou mais cidades crescem e se unem fisicamente,Uma cidade perde populacao,Ocorre migrao rural-urbana,Surge um novo bairro na cidade,Ha queda na taxa de urbanizacao,A,3,enem;uerj;espcex;epcar
228,Geografia,Brasil Fisico,O Rio Sao Francisco tem grande importancia para o Nordeste principalmente por:,Ser a unica fonte de agua perene em area semiarida,Sua beleza cenica,Produzir energia eletrica apenas,Servir a navegacao maritima,Abastecer grandes metropoles do Sudeste,A,3,enem;uerj;espcex;epcar
229,Geografia,Geopolitica,O fenomeno denominado Globalizacao se caracteriza principalmente por:,Integracao economica cultural e financeira mundial,Isolamento entre os paises,Formacao de blocos fechados,Crescimento do protecionalismo,Surgimento de novas nacoes,A,1,enem;uerj;espcex;epcar
230,Geografia,Recursos Naturais,A Amazonia possui grande importancia ecologica mundial devido a:,Maior biodiversidade do planeta e regulacao climatica,Maior reserva de petroleo do mundo,Maior producao agricola global,Maior concentracao de minerais raros,Maior estoque de agua doce superficial,A,2,enem;uerj;espcex;epcar
231,Geografia,Geopolitica,A China e considerada uma potencia emergente global principalmente por causa de:,Seu crescimento economico acelerado e tamanho populacional,Sua potencia militar nuclear,Sua lideranca em energia renovavel,Sua democracia consolidada,Sua exportacao de produtos agricolas,A,3,enem;uerj;espcex;epcar
232,Geografia,Clima,O aquecimento global tem como principal causa antrópica:,Queima de combustiveis fosseis,Desmatamento da Amazonia apenas,Erupcoes vulcanicas,Variacao da atividade solar,Expansao dos desertos,A,2,enem;uerj;espcex;epcar
233,Geografia,Geomorfologia,As planícies sedimentares costeiras formam-se principalmente por:,Deposicao de sedimentos fluviais e marinhos,Erosao eolica,Tectonismo de placas,Intemperismo quimico,Atividade vulcanica,A,3,enem;uerj;espcex;epcar
234,Geografia,Brasil Fisico,O Brasil possui o maior numero de usinas hidreletricas do mundo devido a:,Sua extensa rede hidrologica e relevo propicio,Ausencia de reservas de petroleo,Baixo custo de construcao,Tecnologia nacional avancada,Baixa densidade demografica,A,3,enem;uerj;espcex;epcar
235,Geografia,Geopolitica,O processo de descolonizacao africana intensificou-se apos:,A Segunda Guerra Mundial (pos-1945),A Primeira Guerra Mundial,A Revolucao Industrial,A Guerra Fria terminar,O seculo XIX,A,3,enem;uerj;espcex;epcar
236,Geografia,Urbanizacao,O Brasil e um pais considerado urbanizado pois possui aproximadamente:,85% da populacao vivendo em areas urbanas,50% em areas urbanas,30% em areas urbanas,70% em areas rurais,60% em areas rurais,A,2,enem;uerj;espcex;epcar
237,Geografia,Brasil Fisico,A Serra da Mantiqueira e a Serra do Mar localizam-se predominantemente na regiao:,Sudeste,Nordeste,Sul,Norte,Centro-Oeste,A,1,enem;uerj;espcex;epcar
238,Ingles,Reading Comprehension,In English the word 'although' is used to express:,Contrast (concession),Cause,Purpose,Time,Addition,A,3,uerj;espcex;efomm;epcar;colegio_naval
239,Ingles,Reading Comprehension,The phrase 'As a result' in a text indicates:,Consequence,Contrast,Addition,Condition,Time,A,1,uerj;espcex;efomm;epcar;colegio_naval
240,Ingles,Reading Comprehension,The word 'however' in English expresses:,Opposition or contrast,Addition,Sequence,Cause,Purpose,A,2,uerj;espcex;efomm;epcar;colegio_naval
241,Ingles,Grammar,The correct form of the verb in 'She ___ to the store yesterday' is:,went,go,goes,going,gone,A,1,uerj;espcex;efomm;epcar;colegio_naval
242,Ingles,Grammar,Choose the correct sentence in the Present Perfect tense:,She has already finished her homework,She already finished her homework,She finish her homework,She is finishing her homework now,She will finish her homework,A,3,uerj;espcex;efomm;epcar;colegio_naval
243,Ingles,Grammar,The passive voice form of 'They built the bridge in 1990' is:,The bridge was built in 1990,The bridge is built in 1990,The bridge has been built in 1990,The bridge will be built in 1990,The bridge had been built in 1990,A,3,uerj;espcex;efomm;epcar;colegio_naval
244,Ingles,Grammar,The correct conditional sentence (type 1) is:,If it rains we will stay home,If it rains we would stay home,If it rained we would stay home,If it had rained we would have stayed home,If it is raining we stayed,A,3,uerj;espcex;efomm;epcar;colegio_naval
245,Ingles,Grammar,The superlative form of 'good' is:,the best,the better,the most good,the goodest,more good,A,1,uerj;espcex;efomm;epcar;colegio_naval
246,Ingles,Grammar,The comparative form of 'intelligent' is:,more intelligent,intelligenter,most intelligent,the most intelligent,very intelligent,A,2,uerj;espcex;efomm;epcar;colegio_naval
247,Ingles,Grammar,Choose the correct question form: 'Where ___ you yesterday?',were,was,are,is,did,A,1,uerj;espcex;efomm;epcar;colegio_naval
248,Ingles,Vocabulary,The word 'environment' in English refers to:,The natural surroundings,The government,The economy,The society,The weather,A,2,uerj;espcex;efomm;epcar;colegio_naval
249,Ingles,Vocabulary,The meaning of the word 'sustainable' in 'sustainable development' is:,Able to be maintained without depleting resources,Related to technology,Concerning economic growth only,Referring to politics,About education,A,3,uerj;espcex;efomm;epcar;colegio_naval
250,Ingles,Vocabulary,The antonym of 'ancient' is:,Modern,Old,Historic,Traditional,Classic,A,2,uerj;espcex;efomm;epcar;colegio_naval
251,Ingles,Reading Comprehension,In the sentence 'Despite the rain the match continued' the word 'despite' indicates:,Contrast/concession,Cause,Time,Purpose,Condition,A,3,uerj;espcex;efomm;epcar;colegio_naval
252,Ingles,Reading Comprehension,The word 'Furthermore' in English is used to:,Add information,Show contrast,Express cause,Indicate conclusion,Show time,A,3,uerj;espcex;efomm;epcar;colegio_naval
253,Ingles,Grammar,The modal verb that expresses obligation or necessity is:,must/have to,might,could,would,should,A,1,uerj;espcex;efomm;epcar;colegio_naval
254,Ingles,Grammar,In reported speech 'I am happy' becomes:,He said that he was happy,He said that he is happy,He said that he will be happy,He said that he has been happy,He says that he was happy,A,3,uerj;espcex;efomm;epcar;colegio_naval
255,Ingles,Grammar,The correct preposition in 'She is interested ___ science' is:,in,of,at,on,for,A,1,uerj;espcex;efomm;epcar;colegio_naval
256,Ingles,Grammar,The plural form of 'phenomenon' is:,phenomena,phenomenons,phenomenon,phenomen,phenomenas,A,3,uerj;espcex;efomm;epcar;colegio_naval
257,Ingles,Grammar,Choose the sentence with correct subject-verb agreement:,The news is shocking,The news are shocking,The news were shocking,The news have been shocking,The news was shocking,A,3,uerj;espcex;efomm;epcar;colegio_naval
258,Ingles,Reading Comprehension,The genre of a text that presents arguments to defend a point of view is called:,Argumentative/Persuasive,Narrative,Descriptive,Expository,Instructional,A,3,uerj;espcex;efomm;epcar;colegio_naval
259,Ingles,Vocabulary,The phrase 'to take for granted' means:,To not appreciate something/someone,To accept a challenge,To give away freely,To work hard for,To save money,A,4,uerj;espcex;efomm;epcar;colegio_naval
260,Ingles,Grammar,The gerund form of 'swim' is:,swimming,swimmed,swam,swum,swiming,A,2,uerj;espcex;efomm;epcar;colegio_naval
261,Ingles,Reading Comprehension,In English the prefix 'un-' in words like 'unhappy' and 'unlikely' indicates:,Negation or opposite,Repetition,Excess,Before,Again,A,1,uerj;espcex;efomm;epcar;colegio_naval
262,Ingles,Grammar,Choose the correct sentence using 'used to':,I used to play tennis when I was young,I use to play tennis when I was young,I am used to play tennis,I used play tennis when I was young,I was used to play tennis,A,3,uerj;espcex;efomm;epcar;colegio_naval
263,Ciencias,Biologia Basica,A fotossintese e realizada pelas plantas e consiste em transformar:,Luz solar CO₂ e agua em glicose e oxigenio,Glicose e oxigenio em CO₂ e agua,Nitrogenio em proteinas,Minerais em vitaminas,Agua em O₂ apenas,A,1,colegio_naval
264,Ciencias,Biologia Basica,Os seres vivos sao classificados em reinos. As bacterias pertencem ao reino:,Monera,Fungi,Protista,Animalia,Plantae,A,2,colegio_naval
265,Ciencias,Biologia Basica,A celula animal e diferente da vegetal por nao possuir:,Parede celular e cloroplasto,Nucleo,Mitocondria,Membrana plasmatica,Ribossomo,A,1,colegio_naval
266,Ciencias,Biologia Basica,O sistema respiratorio humano e responsavel por:,Captar oxigenio e eliminar dioxido de carbono,Digerir os alimentos,Transportar nutrientes pelo corpo,Filtrar o sangue,Produzir hormonios,A,2,colegio_naval
267,Ciencias,Biologia Basica,As vacinas previnem doencas porque:,Estimulam o sistema imunologico a produzir anticorpos,Matam bacterias diretamente,Aumentam a temperatura do corpo,Eliminam virus do sangue,Fornecem antibioticos,A,1,colegio_naval
